message,label
hey Team mates - are you playing with me?????,Non-Toxic
move your ace plebs,Insults and Flaming
nice,Non-Toxic
thanks KPZ,Non-Toxic
sry,Non-Toxic
idiots,Insults and Flaming
i send replay for blocking,Non-Toxic
sry,Non-Toxic
bot,Non-Toxic
i know it was my missstake,Non-Toxic
spot pls,Non-Toxic
ehh,Non-Toxic
that was a hit t30,Non-Toxic
bot,Non-Toxic
gg,Non-Toxic
gjj,Non-Toxic
gg,Non-Toxic
gj elc,Non-Toxic
cok pis doyerim,Non-Toxic
sa,Non-Toxic
sa,Non-Toxic
sa,Non-Toxic
sa,Non-Toxic
gj elc,Non-Toxic
gg wp,Non-Toxic
giga chad,Non-Toxic
glhf,Non-Toxic
FUCK,Other Offensive Texts
i tracked him only,Non-Toxic
wtf?,Non-Toxic
90 here,Non-Toxic
go udes,Non-Toxic
spot him again,Non-Toxic
not even lit wtf,Non-Toxic
DONT CAP,Insults and Flaming
FIND THIS BITCH,Insults and Flaming
WTF,Non-Toxic
Enemy SPG Turbo_Noo (105 leFH18B2) just hit me and is now reloading for about 8.92s.,Non-Toxic
капец,Non-Toxic
ciao,Non-Toxic
Im Spotted at E9!,Non-Toxic
"MadeHR (Obj. 777 II), you are blocking my target!",Non-Toxic
Im Spotted at F9!,Non-Toxic
Im Spotted at G9!,Non-Toxic
87,Non-Toxic
new map ?,Non-Toxic
no,Non-Toxic
yes,Non-Toxic
yes,Non-Toxic
wow,Non-Toxic
brend new,Non-Toxic
I love it how you're forced to play this map from tier 1 till tier 10,Non-Toxic
Im Spotted at C1!,Non-Toxic
need eyes,Non-Toxic
pixel shot lol,Non-Toxic
hit him once,Non-Toxic
Im Spotted at E2!,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
sta2 can u spot jgtig?,Non-Toxic
sta2 are u a bot?,Insults and Flaming
gsor there,Non-Toxic
jap,Hate and Harassment
sta push,Non-Toxic
ge shot me 3 times too,Non-Toxic
he*,Non-Toxic
he is reloud,Non-Toxic
yup,Non-Toxic
F him,Insults and Flaming
:))),Non-Toxic
\i guess ptk is there too,Non-Toxic
so quiet x_X,Non-Toxic
ye,Non-Toxic
:D,Non-Toxic
tiger P be careful,Non-Toxic
before storm,Non-Toxic
true dat,Non-Toxic
:))),Non-Toxic
braindead sta stop shooting,Insults and Flaming
ur u`ll get spotted,Non-Toxic
ffs,Other Offensive Texts
better do some spot,Non-Toxic
hm...,Non-Toxic
where could that ptk be,Non-Toxic
daaaamn,Other Offensive Texts
gg :D,Non-Toxic
lol,Non-Toxic
nice one isu,Non-Toxic
wp,Non-Toxic
gg,Non-Toxic
ggee,Non-Toxic
gg,Non-Toxic
Im Spotted at H6!,Non-Toxic
Im Spotted at G7!,Non-Toxic
Im Spotted at F9!,Non-Toxic
Im Spotted at F9!,Non-Toxic
Im Spotted at F9!,Non-Toxic
Im Spotted at F9!,Non-Toxic
Im Spotted at E9!,Non-Toxic
arty,Non-Toxic
Im Spotted at B0!,Non-Toxic
Im Spotted at D6!,Non-Toxic
Im Spotted at A5!,Non-Toxic
Im Spotted at A3!,Non-Toxic
Im Spotted at C3!,Non-Toxic
hit t22 med pls,Non-Toxic
foch,Non-Toxic
French in Berlin,Non-Toxic
meds run,Non-Toxic
regroup,Non-Toxic
might wanna cap,Non-Toxic
useless stat padders,Insults and Flaming
ur dumb for not running,Insults and Flaming
now we pushin gtogehter,Non-Toxic
hide behind ur meatsheild,Other Offensive Texts
gg 152,Non-Toxic
fair and balanced,Non-Toxic
pou les?,Non-Toxic
den katebazi kzanoni,Non-Toxic
i know,Non-Toxic
GO GO GO,Non-Toxic
pame piso,Non-Toxic
отсветись,Non-Toxic
bot,Non-Toxic
yea bot,Non-Toxic
Just looks like it.....,Non-Toxic
learn to play first,Non-Toxic
Im Spotted at H1!,Non-Toxic
No need to talk bad about yourself,Non-Toxic
Just be happy,Non-Toxic
You have a better team than you deserve,Non-Toxic
gg,Non-Toxic
fucking bug,Other Offensive Texts
thx imbecyl,Insults and Flaming
med unistal game,Insults and Flaming
"FR ROCK recrute francophones, voir conditions sur http://eu.wargaming.net/clans/500071861/",Non-Toxic
sry,Non-Toxic
T 26 v sry,Non-Toxic
gg noob lowe,Insults and Flaming
"fff. you,. uselsss, idioty leopard",Insults and Flaming
"stb-1, another uselkss player",Insults and Flaming
wtf are you doing at the heavy side?,Insults and Flaming
Im Spotted at A3!,Non-Toxic
Im Spotted at A3!,Non-Toxic
Im Spotted at A3!,Non-Toxic
fuu all,Insults and Flaming
Im Spotted at F5!,Non-Toxic
Im Spotted at H5!,Non-Toxic
Im Spotted,Non-Toxic
Im Spotted at F0!,Non-Toxic
Im Spotted at K7!,Non-Toxic
g,Non-Toxic
Ggg,Non-Toxic
gg,Non-Toxic
bruh my ping haha,Non-Toxic
arty,Non-Toxic
arta,Non-Toxic
map check,Non-Toxic
idiotsd,Insults and Flaming
look the map,Non-Toxic
we already lost 1 side,Non-Toxic
team of idiots,Insults and Flaming
spg,Non-Toxic
f off,Other Offensive Texts
idiots,Insults and Flaming
wtf,Other Offensive Texts
leopart,Non-Toxic
strv?,Non-Toxic
nice paly,Non-Toxic
GG,Non-Toxic
gg,Non-Toxic
nice shot,Non-Toxic
wow,Non-Toxic
wow,Non-Toxic
good job,Non-Toxic
i identify as a spotter XD,Non-Toxic
no enemy in this side??,Non-Toxic
gg,Non-Toxic
top gun...,Non-Toxic
ugh this gun,Non-Toxic
GG,Non-Toxic
shoot somebody omg???,Non-Toxic
where help,Non-Toxic
Mutz omg who spot them now?,Non-Toxic
wp Bour,Non-Toxic
push north,Non-Toxic
thanks,Non-Toxic
wheres the fv please,Non-Toxic
Worth it,Non-Toxic
gg,Non-Toxic
aty,Non-Toxic
ty,Non-Toxic
Im Spotted at J6!,Non-Toxic
Im Spotted at G1!,Non-Toxic
Im Spotted at G2!,Non-Toxic
sry,Non-Toxic
Im Spotted at G2!,Non-Toxic
Im Spotted at F2!,Non-Toxic
Im Spotted at E2!,Non-Toxic
Im Spotted at F2!,Non-Toxic
Im Spotted at H3!,Non-Toxic
Im Spotted at K4!,Non-Toxic
Im Spotted at J3!,Non-Toxic
Im Spotted at K4!,Non-Toxic
Im Spotted at J5!,Non-Toxic
Im Spotted at G8!,Non-Toxic
wait for me,Non-Toxic
maybe tank a shot and cli`?,Non-Toxic
clip,Non-Toxic
Im Spotted at D7!,Non-Toxic
Im Spotted at G8!,Non-Toxic
gg,Non-Toxic
gg :),Non-Toxic
i will from arty mark my words,Non-Toxic
noted,Non-Toxic
gg,Non-Toxic
siema nomi,Non-Toxic
kv3 from whom was the 344 damage,Non-Toxic
wz afk?,Non-Toxic
fu wz nothig help,Insults and Flaming
#ERROR!,Non-Toxic
wz afk go def base,Non-Toxic
***,Non-Toxic
team kids,Insults and Flaming
kill first arty,Non-Toxic
ARTY FIRST,Non-Toxic
he has moved,Non-Toxic
should i cap,Non-Toxic
man one shot and im dead,Non-Toxic
shit,Other Offensive Texts
how,Non-Toxic
gg idiots,Insults and Flaming
gg first td,Insults and Flaming
why are arty players so toxic?,Non-Toxic
spot,Non-Toxic
how should we help you arty,Non-Toxic
gg,Non-Toxic
wp,Non-Toxic
I belive bour,Non-Toxic
DO NOT TELL WHAT TO DO,Insults and Flaming
from one site to the other takes 3 minutes for me with turbo,Non-Toxic
FUCKIN CLIKER,Insults and Flaming
2 marks on bourrasque = really good player,Non-Toxic
xD underrtated commend,Non-Toxic
wp,Non-Toxic
gsor kurwa,Insults and Flaming
spot,Non-Toxic
that non-pen on the arty was kinda funny,Non-Toxic
sweep the arty,Non-Toxic
nice shootin,Non-Toxic
jesus,Non-Toxic
E25 SPOT?,Non-Toxic
wtf??????,Other Offensive Texts
Im Spotted at A8!,Non-Toxic
thxn,Non-Toxic
np,Non-Toxic
we should do something,Non-Toxic
3 minutes,Non-Toxic
standart move,Non-Toxic
shit,Other Offensive Texts
cap,Non-Toxic
lets cap,Non-Toxic
you have to restart cap guys\,Non-Toxic
gj,Non-Toxic
WP,Non-Toxic
wp,Non-Toxic
gg,Non-Toxic
thannx :),Non-Toxic
g guys,Non-Toxic
gg,Non-Toxic
gg :),Non-Toxic
psy ujebane,Insults and Flaming
robcie cos,Non-Toxic
u are reported wz,Non-Toxic
push gssor wreck,Non-Toxic
conq f you,Insults and Flaming
!!!!,Non-Toxic
thank you,Non-Toxic
greek ******,Hate and Harassment
hope your family die in fire,Threats
BC CHAWE 2 SCHOTS,Non-Toxic
what the **** are those two morons doing in our base,Insults and Flaming
HES BLOCKING ME,Insults and Flaming
U FKIING IDIOT,Insults and Flaming
omg,Non-Toxic
i pinged million times,Non-Toxic
and u do **** about it,Insults and Flaming
wot players...,Insults and Flaming
СТАДО ТУПОРЫЛЫХ ДАУНОВ,Insults and Flaming
Арта (M44) отстрелялась! По мне :(,Non-Toxic
gj basoto,Non-Toxic
Засвет в квадрате A2!!!,Non-Toxic
gj,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
OIK FU DIE LIKE SHHIITS,Insults and Flaming
noobs,Insults and Flaming
nice,Non-Toxic
enemy hp?,Non-Toxic
nice,Non-Toxic
gg,Non-Toxic
вы просрали все что можно просрать\,Insults and Flaming
*** im stock xD,Non-Toxic
*** BC12t,Insults and Flaming
ok,Non-Toxic
and??,Non-Toxic
soory i get crash,Non-Toxic
ok,Non-Toxic
BC 12t NB !!!,Insults and Flaming
u2,Non-Toxic
*** pain,Insults and Flaming
useless bc 12 t,Insults and Flaming
u2,Non-Toxic
just report him,Non-Toxic
*** u lt,Insults and Flaming
report bc lt,Non-Toxic
report this bot bc lt,Non-Toxic
report the bot bc,Non-Toxic
your mum is bot and make you,Hate and Harassment
stfu kid,Insults and Flaming
go eat ur ice cream,Non-Toxic
give puuusy all bots and produce you,Insults and Flaming
*** u *** kid,Hate and Harassment
report this bot bc lt,Non-Toxic
report the light,Non-Toxic
gg,Non-Toxic
gg,Non-Toxic
amx go,Non-Toxic
shit spg loves me,Other Offensive Texts
I envy you,Non-Toxic
conway 我身上有迷彩嗎?,Non-Toxic
let prrog kill,Non-Toxic
m6 great job,Non-Toxic
like u can play in world tournament for 299k,Insults and Flaming
sorry arty fuck me hard,Non-Toxic
sry camping heavy m6,Non-Toxic
XD,Non-Toxic
bloddy bastard,Insults and Flaming
:),Non-Toxic
wow i see your gread job,Non-Toxic
gread XD,Non-Toxic
learn english bloddy hell,Insults and Flaming
im glad that htey fixed the mm,Non-Toxic
